Vthermistor,Vreference
2.659655,4.989350
2.659614,4.989334
2.659609,4.989338
2.659585,4.989316
2.659585,4.989307
2.659533,4.989301
2.659513,4.989281
2.659498,4.989262
2.659460,4.989237
2.659456,4.989235
2.659407,4.989234
2.659407,4.989207
2.659385,4.989216
2.659390,4.989220
2.659376,4.989215
2.659383,4.989241
2.659351,4.989239
2.659357,4.989238
2.659367,4.989239
2.659330,4.989245
2.659372,4.989251
2.659321,4.989245
2.659314,4.989249
2.659301,4.989241
2.659290,4.989257
2.659256,4.989257
2.659264,4.989269
2.659258,4.989257
2.659218,4.989258
2.659243,4.989266
2.659202,4.989272
2.659211,4.989293
2.659185,4.989280
2.659205,4.989285
2.659165,4.989300
2.659167,4.989315
2.659142,4.989322
2.659154,4.989334
2.659150,4.989337
2.659140,4.989351
2.659146,4.989359
2.659121,4.989356
2.659106,4.989359
2.659100,4.989371
2.659099,4.989362
2.659071,4.989376
2.659071,4.989362
2.659040,4.989374
2.659045,4.989359
2.659009,4.989370
2.659026,4.989352
2.658989,4.989361
2.658993,4.989350
2.658975,4.989344
2.658978,4.989350
2.658945,4.989338
2.658917,4.989347
2.658919,4.989344
2.658870,4.989337
2.658892,4.989326
2.658862,4.989318
2.658862,4.989318
2.658823,4.989314
2.658813,4.989315
2.658784,4.989309
2.658771,4.989307
2.658771,4.989302
2.658759,4.989308
2.658747,4.989303
2.658734,4.989312
2.658747,4.989325
2.658722,4.989330
2.658730,4.989337
2.658685,4.989336
2.658716,4.989351
2.658685,4.989353
2.658700,4.989345
2.658664,4.989350
2.658683,4.989375
2.658662,4.989389
2.658662,4.989392
2.658647,4.989405
2.658638,4.989415
2.658649,4.989408
2.658616,4.989418
2.658637,4.989413
2.658596,4.989414
2.658613,4.989415
2.658594,4.989421
2.658602,4.989413
2.658575,4.989398
2.658575,4.989381
2.658540,4.989363
2.658502,4.989351
2.658478,4.989337
2.658430,4.989352
2.658438,4.989328
2.658390,4.989326
2.658396,4.989327
2.658385,4.989324
2.658387,4.989322
2.658393,4.989338
2.658365,4.989365
2.658380,4.989393
2.658359,4.989375
2.658367,4.989389
2.658343,4.989389
2.658342,4.989387
2.658314,4.989395
2.658300,4.989377
2.658311,4.989369
2.658269,4.989388
2.658303,4.989374
2.658274,4.989380
2.658292,4.989387
2.658256,4.989383
2.658250,4.989386
2.658219,4.989371
2.658213,4.989356
2.658206,4.989327
2.658169,4.989336
2.658172,4.989324
2.658148,4.989326
2.658137,4.989320
2.658132,4.989326
2.658136,4.989343
2.658112,4.989337
2.658108,4.989346
2.658118,4.989357
2.658093,4.989368
2.658097,4.989364
2.658076,4.989383
2.658081,4.989380
2.658066,4.989395
2.658067,4.989398
2.658032,4.989399
2.658043,4.989412
2.658024,4.989402
2.657979,4.989406
2.657993,4.989383
2.657958,4.989378
2.657964,4.989383
2.657950,4.989376
2.657932,4.989377
2.657906,4.989395
2.657918,4.989393
2.657907,4.989387
2.657878,4.989396
2.657897,4.989392
2.657850,4.989396
2.657865,4.989381
2.657820,4.989388
2.657832,4.989388
2.657828,4.989395
2.657835,4.989388
2.657815,4.989398
2.657794,4.989402
2.657785,4.989383
2.657796,4.989374
2.657775,4.989373
2.657747,4.989381
2.657741,4.989350
2.657707,4.989353
2.657706,4.989340
2.657667,4.989322
2.657655,4.989309
2.657632,4.989291
2.657589,4.989296
2.657573,4.989276
2.657539,4.989278
2.657553,4.989252
2.657510,4.989243
2.657517,4.989251
2.657503,4.989259
2.657501,4.989264
2.657481,4.989275
2.657495,4.989277
2.657484,4.989283
2.657528,4.989293
2.657481,4.989299
2.657468,4.989307
2.657495,4.989294
2.657462,4.989307
2.657485,4.989300
2.657415,4.989302
2.657393,4.989318
2.657427,4.989297
2.657405,4.989302
2.657354,4.989309
2.657413,4.989302
2.657387,4.989306
2.657366,4.989303
2.657336,4.989307
2.657319,4.989308
2.657306,4.989312
2.657326,4.989307
2.657297,4.989311
2.657309,4.989306
2.657305,4.989318
2.657230,4.989316
2.657268,4.989324
2.657243,4.989307
2.657212,4.989320
2.657226,4.989305
2.657186,4.989313
2.657216,4.989285
2.657167,4.989284
2.657164,4.989289
2.657120,4.989291
2.657126,4.989291
2.657114,4.989307
2.657126,4.989312
2.657119,4.989321
2.657143,4.989343
2.657154,4.989367
2.657155,4.989389
2.657168,4.989413
2.657154,4.989445
2.657162,4.989444
2.657137,4.989448
2.657145,4.989450
2.657112,4.989445
2.657100,4.989442
2.657084,4.989442
2.657071,4.989426
2.657061,4.989436
2.657048,4.989425
2.657044,4.989430
2.657037,4.989430
2.657046,4.989437
2.657009,4.989444
2.657024,4.989434
2.656984,4.989442
2.656984,4.989433
2.656955,4.989432
2.656953,4.989423
2.656931,4.989412
2.656930,4.989393
2.656896,4.989377
2.656871,4.989371
2.656879,4.989347
2.656844,4.989345
2.656853,4.989352
2.656842,4.989356
2.656840,4.989381
2.656844,4.989378
2.656839,4.989393
2.656826,4.989402
2.656851,4.989415
2.656846,4.989419
2.656832,4.989421
2.656846,4.989417
2.656822,4.989433
2.656826,4.989449
2.656790,4.989438
2.656788,4.989436
2.656779,4.989444
2.656780,4.989443
2.656763,4.989446
2.656741,4.989454
2.656745,4.989442
2.656733,4.989437
2.656741,4.989417
2.656698,4.989425
2.656705,4.989425
2.656682,4.989418
2.656679,4.989437
2.656665,4.989429
2.656679,4.989438
2.656646,4.989431
2.656635,4.989438
2.656653,4.989421
2.656628,4.989446
2.656647,4.989449
2.656604,4.989442
2.656622,4.989433
2.656606,4.989437
2.656590,4.989457
2.656580,4.989452
2.656590,4.989450
2.656575,4.989434
2.656556,4.989448
2.656565,4.989449
2.656548,4.989438
2.656564,4.989442
2.656536,4.989455
2.656552,4.989454
2.656521,4.989451
2.656530,4.989452
2.656505,4.989445
2.656485,4.989452
2.656513,4.989444
2.656457,4.989454
2.656471,4.989456
2.656446,4.989445
2.656463,4.989427
2.656436,4.989419
2.656446,4.989425
2.656417,4.989413
2.656404,4.989415
2.656384,4.989409
2.656374,4.989404
2.656360,4.989401
2.656357,4.989386
2.656327,4.989386
2.656339,4.989381
2.656329,4.989371
2.656301,4.989368
2.656324,4.989368
2.656288,4.989383
2.656301,4.989368
2.656281,4.989393
2.656311,4.989393
2.656279,4.989407
2.656277,4.989421
2.656293,4.989431
2.656293,4.989438
2.656292,4.989437
2.656251,4.989454
2.656300,4.989442
2.656256,4.989451
2.656266,4.989449
2.656249,4.989433
2.656233,4.989421
2.656192,4.989394
2.656192,4.989368
2.656168,4.989367
2.656170,4.989340
2.656167,4.989344
2.656130,4.989345
2.656114,4.989339
2.656084,4.989328
2.656086,4.989319
2.656075,4.989320
2.656088,4.989330
2.656089,4.989319
2.656106,4.989337
2.656091,4.989356
2.656107,4.989364
2.656108,4.989374
2.656094,4.989388
2.656103,4.989396
2.656103,4.989411
2.656139,4.989424
2.656107,4.989455
2.656130,4.989461
2.656101,4.989458
2.656116,4.989468
2.656100,4.989487
2.656113,4.989477
2.656062,4.989463
2.656051,4.989463
2.656070,4.989463
2.656038,4.989446
2.656065,4.989455
2.656026,4.989469
2.656043,4.989462
2.656020,4.989451
2.656037,4.989456
2.656009,4.989460
2.656009,4.989470
2.656008,4.989454
2.655984,4.989474
2.656006,4.989476
2.655994,4.989483
2.655985,4.989474
2.655947,4.989476
2.655958,4.989465
2.655942,4.989463
2.655944,4.989471
2.655935,4.989470
2.655916,4.989476
2.655904,4.989469
2.655900,4.989477
2.655915,4.989474
2.655892,4.989479
2.655895,4.989473
2.655880,4.989474
2.655888,4.989479
2.655882,4.989474
2.655864,4.989469
2.655836,4.989457
2.655864,4.989470
2.655845,4.989463
2.655827,4.989471
2.655840,4.989471
2.655814,4.989469
2.655830,4.989467
2.655808,4.989471
2.655808,4.989477
2.655785,4.989474
2.655785,4.989487
2.655790,4.989471
2.655792,4.989465
2.655759,4.989474
2.655766,4.989489
2.655772,4.989469
2.655746,4.989493
2.655765,4.989467
2.655724,4.989469
2.655740,4.989473
2.655722,4.989467
2.655720,4.989475
2.655716,4.989483
2.655716,4.989469
2.655705,4.989462
2.655680,4.989485
2.655708,4.989475
2.655683,4.989474
2.655685,4.989474
2.655660,4.989465
2.655669,4.989464
2.655654,4.989450
2.655641,4.989451
2.655650,4.989448
2.655617,4.989443
2.655624,4.989427
2.655576,4.989415
2.655576,4.989415
2.655569,4.989404
2.655579,4.989401
2.655573,4.989393
2.655562,4.989400
2.655534,4.989377
2.655519,4.989401
2.655540,4.989377
2.655529,4.989390
2.655537,4.989394
2.655519,4.989401
2.655553,4.989427
2.655535,4.989424
2.655571,4.989429
2.655550,4.989448
2.655561,4.989460
2.655542,4.989449
2.655537,4.989445
2.655545,4.989463
2.655522,4.989468
2.655532,4.989446
2.655513,4.989469
2.655503,4.989451
2.655482,4.989455
2.655501,4.989467
2.655481,4.989440
2.655482,4.989442
2.655448,4.989434
2.655469,4.989436
2.655468,4.989420
2.655432,4.989413
2.655456,4.989413
2.655406,4.989421
2.655420,4.989424
2.655422,4.989421
2.655423,4.989418
2.655399,4.989409
2.655379,4.989427
2.655380,4.989421
2.655385,4.989419
2.655388,4.989421
2.655391,4.989418
2.655400,4.989426
2.655365,4.989454
2.655435,4.989434
2.655404,4.989424
2.655350,4.989456
2.655337,4.989464
2.655357,4.989469
2.655404,4.989445
2.655407,4.989437
2.655345,4.989458
2.655333,4.989460
2.655396,4.989442
2.655398,4.989443
2.655392,4.989436
2.655331,4.989446
2.655315,4.989440
2.655344,4.989426
2.655308,4.989430
2.655269,4.989430
2.655283,4.989424
2.655239,4.989418
2.655306,4.989398
2.655271,4.989390
2.655286,4.989367
2.655243,4.989381
2.655195,4.989384
2.655225,4.989382
2.655256,4.989364
2.655256,4.989378
2.655203,4.989393
2.655265,4.989420
2.655194,4.989451
2.655258,4.989455
2.655224,4.989475
2.655222,4.989470
2.655296,4.989457
2.655194,4.989470
2.655246,4.989469
2.655251,4.989462
2.655203,4.989465
2.655188,4.989468
2.655256,4.989452
2.655191,4.989482
2.655221,4.989463
2.655240,4.989462
2.655194,4.989464
2.655234,4.989458
2.655169,4.989455
2.655212,4.989439
2.655163,4.989427
2.655172,4.989420
2.655126,4.989423
2.655153,4.989399
2.655107,4.989389
2.655129,4.989370
2.655097,4.989357
2.655075,4.989351
2.655081,4.989353
2.655059,4.989357
2.655071,4.989345
2.655025,4.989342
2.655042,4.989346
2.655010,4.989340
2.655034,4.989328
2.655007,4.989350
2.655027,4.989332
2.654992,4.989353
2.654992,4.989363
2.655000,4.989364
2.655005,4.989359
2.654990,4.989346
2.655015,4.989353
2.655003,4.989370
2.654977,4.989383
2.655000,4.989375
2.654978,4.989369
2.654996,4.989377
2.654970,4.989374
2.654976,4.989368
2.654952,4.989362
2.654960,4.989368
2.654936,4.989357
2.654936,4.989365
2.654909,4.989364
2.654930,4.989358
2.654901,4.989362
2.654911,4.989364
2.654918,4.989351
2.654893,4.989358
2.654918,4.989371
2.654909,4.989349
2.654909,4.989352
2.654893,4.989353
2.654897,4.989344
2.654893,4.989350
2.654895,4.989352
2.654866,4.989355
2.654883,4.989356
2.654881,4.989353
2.654870,4.989364
2.654914,4.989363
2.654880,4.989381
2.654924,4.989389
2.654902,4.989402
2.654924,4.989409
2.654923,4.989438
2.654966,4.989451
2.654939,4.989461
2.654939,4.989482
2.654959,4.989470
2.654932,4.989479
2.654942,4.989477
2.654917,4.989482
2.654922,4.989480
2.654898,4.989463
2.654903,4.989467
2.654899,4.989463
2.654897,4.989469
2.654874,4.989474
2.654881,4.989492
2.654893,4.989491
2.654870,4.989493
2.654880,4.989483
2.654859,4.989496
2.654879,4.989479
2.654852,4.989475
2.654850,4.989467
2.654819,4.989481
2.654848,4.989464
2.654816,4.989455
2.654823,4.989452
2.654803,4.989434
2.654810,4.989423
2.654772,4.989401
2.654766,4.989414
2.654778,4.989408
2.654741,4.989407
2.654761,4.989411
2.654727,4.989408
2.654759,4.989413
2.654765,4.989427
2.654752,4.989426
2.654753,4.989420
2.654771,4.989448
2.654760,4.989436
2.654760,4.989465
2.654778,4.989450
2.654766,4.989467
2.654777,4.989463
2.654752,4.989483
2.654780,4.989485
2.654748,4.989492
2.654754,4.989483
2.654735,4.989482
2.654743,4.989481
2.654723,4.989477
2.654699,4.989468
2.654701,4.989450
2.654696,4.989449
2.654679,4.989429
2.654641,4.989415
2.654657,4.989399
2.654629,4.989390
2.654651,4.989407
2.654629,4.989390
2.654637,4.989401
2.654631,4.989396
2.654632,4.989395
2.654620,4.989383
2.654632,4.989402
2.654605,4.989394
2.654603,4.989398
2.654613,4.989392
2.654594,4.989415
2.654607,4.989398
2.654576,4.989386
2.654594,4.989404
2.654579,4.989400
2.654592,4.989396
2.654574,4.989392
2.654583,4.989402
2.654562,4.989393
2.654580,4.989395
2.654589,4.989382
2.654570,4.989395
2.654586,4.989398
2.654551,4.989386
2.654555,4.989392
2.654541,4.989398
2.654561,4.989401
2.654527,4.989399
2.654554,4.989406
2.654536,4.989395
2.654539,4.989409
2.654517,4.989414
2.654523,4.989423
2.654519,4.989426
2.654523,4.989424
2.654514,4.989437
2.654526,4.989436
2.654530,4.989434
2.654517,4.989460
2.654532,4.989455
2.654512,4.989455
2.654517,4.989465
2.654513,4.989477
2.654523,4.989469
2.654511,4.989481
2.654529,4.989474
2.654524,4.989488
2.654541,4.989487
2.654510,4.989501
2.654517,4.989513
2.654527,4.989502
2.654492,4.989496
2.654512,4.989494
2.654507,4.989489
2.654510,4.989482
2.654490,4.989479
2.654506,4.989473
2.654467,4.989479
2.654475,4.989454
2.654446,4.989450
2.654461,4.989451
2.654424,4.989445
2.654419,4.989444
2.654406,4.989420
2.654401,4.989433
2.654394,4.989407
2.654408,4.989420
2.654376,4.989405
2.654383,4.989413
2.654395,4.989424
2.654384,4.989415
2.654386,4.989409
2.654370,4.989415
2.654386,4.989425
2.654361,4.989417
2.654378,4.989406
2.654388,4.989424
2.654380,4.989414
2.654363,4.989430
2.654400,4.989427
2.654357,4.989439
2.654374,4.989440
2.654390,4.989455
2.654365,4.989456
2.654387,4.989473
2.654355,4.989470
2.654401,4.989474
2.654372,4.989479
2.654400,4.989475
2.654382,4.989482
2.654406,4.989479
2.654381,4.989474
2.654381,4.989489
2.654369,4.989477
2.654393,4.989492
2.654369,4.989487
2.654386,4.989491
2.654401,4.989499
2.654400,4.989506
2.654392,4.989491
2.654349,4.989474
2.654358,4.989449
2.654313,4.989430
2.654306,4.989393
2.654275,4.989386
2.654252,4.989375
2.654250,4.989358
2.654235,4.989362
2.654226,4.989363
2.654260,4.989364
2.654270,4.989374
2.654262,4.989380
2.654269,4.989375
2.654243,4.989384
2.654266,4.989399
2.654259,4.989429
2.654287,4.989436
2.654266,4.989462
2.654291,4.989458
2.654260,4.989483
2.654276,4.989474
2.654252,4.989460
2.654269,4.989460
2.654232,4.989458
2.654258,4.989436
2.654207,4.989414
2.654214,4.989417
2.654204,4.989392
2.654170,4.989380
2.654186,4.989383
2.654158,4.989393
2.654189,4.989401
2.654158,4.989404
2.654195,4.989415
2.654170,4.989429
2.654179,4.989432
2.654190,4.989429
2.654191,4.989446
2.654169,4.989454
2.654185,4.989476
2.654189,4.989450
2.654185,4.989473
2.654209,4.989477
2.654173,4.989455
2.654204,4.989460
2.654179,4.989471
2.654206,4.989446
2.654179,4.989454
2.654201,4.989445
2.654190,4.989452
2.654196,4.989463
2.654181,4.989461
2.654177,4.989461
2.654158,4.989467
2.654177,4.989464
2.654173,4.989455
2.654161,4.989442
2.654177,4.989439
2.654153,4.989457
2.654175,4.989445
2.654146,4.989424
2.654144,4.989429
2.654134,4.989431
2.654148,4.989430
2.654153,4.989411
2.654111,4.989406
2.654140,4.989411
2.654091,4.989396
2.654101,4.989389
2.654078,4.989386
2.654091,4.989373
2.654061,4.989362
2.654068,4.989374
2.654060,4.989356
2.654052,4.989368
2.654059,4.989361
2.654094,4.989373
2.654078,4.989384
2.654048,4.989412
2.654080,4.989411
2.654070,4.989449
2.654085,4.989446
2.654074,4.989449
2.654096,4.989467
2.654064,4.989454
